"Date","InCount","BRCWeek","LocationName","Hour","Weekday","NewDate","Month","Year","Day","Day_yr","Month_yr","Week_yr","Hour_yr","week_no","X"
"1","01/01/2011",558,52,"Briggate",0,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"2","01/01/2011",647,52,"Briggate",1,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"3","01/01/2011",639,52,"Briggate",2,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"4","01/01/2011",433,52,"Briggate",3,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"5","01/01/2011",89,52,"Briggate",7,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"6","01/01/2011",67,52,"Briggate",8,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"7","01/01/2011",102,52,"Briggate",9,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"8","01/01/2011",243,52,"Briggate",10,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"9","01/01/2011",399,52,"Briggate",11,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"10","01/01/2011",679,52,"Briggate",12,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"11","01/01/2011",844,52,"Briggate",13,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"12","01/01/2011",935,52,"Briggate",14,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"13","01/01/2011",1037,52,"Briggate",15,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"14","01/01/2011",550,52,"Briggate",16,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"15","01/01/2011",386,52,"Briggate",17,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"16","01/01/2011",268,52,"Briggate",18,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"17","01/01/2011",184,52,"Briggate",19,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"18","01/01/2011",180,52,"Briggate",20,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"19","01/01/2011",160,52,"Briggate",21,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"20","01/01/2011",148,52,"Briggate",22,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"21","01/01/2011",151,52,"Briggate",23,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"22","01/01/2011",27,52,"Briggate at McDonalds",0,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"23","01/01/2011",15,52,"Briggate at McDonalds",1,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"24","01/01/2011",22,52,"Briggate at McDonalds",2,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"25","01/01/2011",74,52,"Briggate at McDonalds",3,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"26","01/01/2011",19,52,"Briggate at McDonalds",4,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"27","01/01/2011",2,52,"Briggate at McDonalds",5,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"28","01/01/2011",4,52,"Briggate at McDonalds",6,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"29","01/01/2011",11,52,"Briggate at McDonalds",7,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"30","01/01/2011",123,52,"Briggate at McDonalds",8,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"31","01/01/2011",358,52,"Briggate at McDonalds",9,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"32","01/01/2011",666,52,"Briggate at McDonalds",10,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"33","01/01/2011",816,52,"Briggate at McDonalds",11,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"34","01/01/2011",680,52,"Briggate at McDonalds",12,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"35","01/01/2011",968,52,"Briggate at McDonalds",13,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"36","01/01/2011",926,52,"Briggate at McDonalds",14,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"37","01/01/2011",953,52,"Briggate at McDonalds",15,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"38","01/01/2011",630,52,"Briggate at McDonalds",16,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"39","01/01/2011",382,52,"Briggate at McDonalds",17,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"40","01/01/2011",171,52,"Briggate at McDonalds",18,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"41","01/01/2011",74,52,"Briggate at McDonalds",19,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"42","01/01/2011",44,52,"Briggate at McDonalds",20,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"43","01/01/2011",53,52,"Briggate at McDonalds",21,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"44","01/01/2011",41,52,"Briggate at McDonalds",22,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"45","01/01/2011",43,52,"Briggate at McDonalds",23,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"46","01/01/2011",173,52,"Albion Street North",0,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"47","01/01/2011",154,52,"Albion Street North",1,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"48","01/01/2011",158,52,"Albion Street North",2,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"49","01/01/2011",92,52,"Albion Street North",3,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"50","01/01/2011",72,52,"Albion Street North",4,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"51","01/01/2011",17,52,"Albion Street North",5,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"52","01/01/2011",20,52,"Albion Street North",6,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"53","01/01/2011",8,52,"Albion Street North",7,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"54","01/01/2011",24,52,"Albion Street North",8,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"55","01/01/2011",131,52,"Albion Street North",9,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"56","01/01/2011",214,52,"Albion Street North",10,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"57","01/01/2011",395,52,"Albion Street North",11,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"58","01/01/2011",567,52,"Albion Street North",12,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"59","01/01/2011",664,52,"Albion Street North",13,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"60","01/01/2011",711,52,"Albion Street North",14,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"61","01/01/2011",797,52,"Albion Street North",15,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"62","01/01/2011",564,52,"Albion Street North",16,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"63","01/01/2011",217,52,"Albion Street North",17,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"64","01/01/2011",94,52,"Albion Street North",18,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"65","01/01/2011",59,52,"Albion Street North",19,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"66","01/01/2011",24,52,"Albion Street North",20,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"67","01/01/2011",30,52,"Albion Street North",21,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"68","01/01/2011",18,52,"Albion Street North",22,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"69","01/01/2011",28,52,"Albion Street North",23,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"70","01/01/2011",228,52,"Albion Street South",0,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"71","01/01/2011",183,52,"Albion Street South",1,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"72","01/01/2011",180,52,"Albion Street South",2,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"73","01/01/2011",138,52,"Albion Street South",3,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"74","01/01/2011",92,52,"Albion Street South",4,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"75","01/01/2011",33,52,"Albion Street South",5,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"76","01/01/2011",33,52,"Albion Street South",6,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"77","01/01/2011",23,52,"Albion Street South",7,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"78","01/01/2011",37,52,"Albion Street South",8,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"79","01/01/2011",137,52,"Albion Street South",9,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"80","01/01/2011",254,52,"Albion Street South",10,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"81","01/01/2011",479,52,"Albion Street South",11,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"82","01/01/2011",614,52,"Albion Street South",12,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"83","01/01/2011",687,52,"Albion Street South",13,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"84","01/01/2011",705,52,"Albion Street South",14,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"85","01/01/2011",749,52,"Albion Street South",15,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"86","01/01/2011",501,52,"Albion Street South",16,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"87","01/01/2011",208,52,"Albion Street South",17,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"88","01/01/2011",125,52,"Albion Street South",18,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"89","01/01/2011",103,52,"Albion Street South",19,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"90","01/01/2011",63,52,"Albion Street South",20,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"91","01/01/2011",63,52,"Albion Street South",21,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"92","01/01/2011",36,52,"Albion Street South",22,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"93","01/01/2011",43,52,"Albion Street South",23,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"94","01/01/2011",77,52,"Commercial Street at Barratts",0,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"95","01/01/2011",75,52,"Commercial Street at Barratts",1,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"96","01/01/2011",51,52,"Commercial Street at Barratts",2,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"97","01/01/2011",42,52,"Commercial Street at Barratts",3,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"98","01/01/2011",50,52,"Commercial Street at Barratts",4,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"99","01/01/2011",23,52,"Commercial Street at Barratts",5,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"100","01/01/2011",14,52,"Commercial Street at Barratts",6,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"101","01/01/2011",7,52,"Commercial Street at Barratts",7,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"102","01/01/2011",33,52,"Commercial Street at Barratts",8,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"103","01/01/2011",72,52,"Commercial Street at Barratts",9,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"104","01/01/2011",208,52,"Commercial Street at Barratts",10,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"105","01/01/2011",360,52,"Commercial Street at Barratts",11,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"106","01/01/2011",560,52,"Commercial Street at Barratts",12,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"107","01/01/2011",614,52,"Commercial Street at Barratts",13,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"108","01/01/2011",751,52,"Commercial Street at Barratts",14,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"109","01/01/2011",773,52,"Commercial Street at Barratts",15,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"110","01/01/2011",372,52,"Commercial Street at Barratts",16,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"111","01/01/2011",146,52,"Commercial Street at Barratts",17,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"112","01/01/2011",110,52,"Commercial Street at Barratts",18,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"113","01/01/2011",104,52,"Commercial Street at Barratts",19,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"114","01/01/2011",129,52,"Commercial Street at Barratts",20,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"115","01/01/2011",115,52,"Commercial Street at Barratts",21,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"116","01/01/2011",116,52,"Commercial Street at Barratts",22,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"117","01/01/2011",103,52,"Commercial Street at Barratts",23,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"118","01/01/2011",18,52,"Commercial Street at Sharps",0,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"119","01/01/2011",37,52,"Commercial Street at Sharps",1,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"120","01/01/2011",34,52,"Commercial Street at Sharps",2,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"121","01/01/2011",27,52,"Commercial Street at Sharps",3,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"122","01/01/2011",46,52,"Commercial Street at Sharps",4,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"123","01/01/2011",21,52,"Commercial Street at Sharps",5,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"124","01/01/2011",24,52,"Commercial Street at Sharps",6,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"125","01/01/2011",9,52,"Commercial Street at Sharps",7,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"126","01/01/2011",42,52,"Commercial Street at Sharps",8,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"127","01/01/2011",99,52,"Commercial Street at Sharps",9,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"128","01/01/2011",283,52,"Commercial Street at Sharps",10,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"129","01/01/2011",567,52,"Commercial Street at Sharps",11,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"130","01/01/2011",777,52,"Commercial Street at Sharps",12,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"131","01/01/2011",862,52,"Commercial Street at Sharps",13,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"132","01/01/2011",1021,52,"Commercial Street at Sharps",14,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"133","01/01/2011",1139,52,"Commercial Street at Sharps",15,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"134","01/01/2011",423,52,"Commercial Street at Sharps",16,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"135","01/01/2011",120,52,"Commercial Street at Sharps",17,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"136","01/01/2011",40,52,"Commercial Street at Sharps",18,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"137","01/01/2011",43,52,"Commercial Street at Sharps",19,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
