Date,mean_temp,rain
01/01/2017,4.6,7.6
02/01/2017,2.7,0
03/01/2017,6.3,0.2
04/01/2017,6,0
05/01/2017,2.7,0
06/01/2017,5.1,0.6
07/01/2017,9.3,0
08/01/2017,8,0
09/01/2017,7.9,3
10/01/2017,8.3,0.2
11/01/2017,7.6,0.2
12/01/2017,3.4,0.8
13/01/2017,2.5,0.8
14/01/2017,3.4,0
15/01/2017,7.5,5.6
16/01/2017,6.5,2.6
17/01/2017,7.3,0.2
18/01/2017,8.5,0
19/01/2017,7.9,0
20/01/2017,6.1,0
21/01/2017,3.9,0
22/01/2017,2.9,0
23/01/2017,3.2,0
24/01/2017,4.5,0
25/01/2017,5.2,0
26/01/2017,0.4,0
27/01/2017,0.4,1.2
28/01/2017,4.4,3
29/01/2017,4.2,0.4
30/01/2017,5.4,0
31/01/2017,5.2,9
01/02/2017,8.2,4.6
02/02/2017,10.7,0
03/02/2017,8.6,1.2
04/02/2017,5.3,2
05/02/2017,4.6,0
06/02/2017,2.7,6.4
07/02/2017,5.8,1.4
08/02/2017,3.8,0
09/02/2017,2.1,0.2
10/02/2017,1.9,0.2
11/02/2017,2.7,3.8
12/02/2017,2.5,6.4
13/02/2017,4.7,0
14/02/2017,5.1,0
15/02/2017,8.6,1.8
16/02/2017,8.6,0.4
17/02/2017,9.6,0.4
18/02/2017,9.8,0.4
19/02/2017,9.9,0
20/02/2017,11.5,0.2
21/02/2017,10.1,0.8
22/02/2017,9,2
23/02/2017,6.4,9.8
24/02/2017,6.1,0
25/02/2017,9.2,1.6
26/02/2017,9.5,0
27/02/2017,5.4,3.8
28/02/2017,4.2,1.8
01/03/2017,4.9,1.2
02/03/2017,5.9,1.8
03/03/2017,5.9,12.8
04/03/2017,8.7,0.2
05/03/2017,6,4.6
06/03/2017,7.3,0.4
07/03/2017,7.5,0.6
08/03/2017,9.7,4.2
09/03/2017,9.4,0
10/03/2017,9.6,0
11/03/2017,11.4,0.4
12/03/2017,11.2,0.4
13/03/2017,9.2,0
14/03/2017,11.5,0
15/03/2017,10.9,0
16/03/2017,8.6,0.2
17/03/2017,8.1,0.2
18/03/2017,11.7,0.6
19/03/2017,12.2,0.4
20/03/2017,9,4.8
21/03/2017,5.8,2.8
22/03/2017,5.7,14.2
23/03/2017,7.2,0.8
24/03/2017,7.6,0
25/03/2017,9,0
26/03/2017,9,0
27/03/2017,7.6,0
28/03/2017,9.1,2.2
29/03/2017,12.6,2.2
30/03/2017,15.8,0
31/03/2017,14.5,0
01/04/2017,10.5,0.4
02/04/2017,10.2,0
03/04/2017,11.3,0
04/04/2017,11.4,0
05/04/2017,9.7,0
06/04/2017,8.5,0
07/04/2017,8.9,0
08/04/2017,12.2,0
09/04/2017,13.3,0
10/04/2017,9.7,0
11/04/2017,9.3,0
12/04/2017,10.1,0
13/04/2017,9,0
14/04/2017,9.7,1.8
15/04/2017,8.5,0.6
16/04/2017,8.1,4.6
17/04/2017,7.9,0
18/04/2017,7.3,0
19/04/2017,9.5,0
20/04/2017,11.7,1
21/04/2017,10.9,0
22/04/2017,9.7,0
23/04/2017,9.9,0
24/04/2017,8.6,1.8
25/04/2017,4.4,1.6
26/04/2017,6.1,0
27/04/2017,8.1,3
28/04/2017,9.3,0
29/04/2017,10.7,0
30/04/2017,11.2,0
01/05/2017,11.6,0
02/05/2017,10.6,0
03/05/2017,10.7,0
04/05/2017,10.9,0
05/05/2017,10.5,0
06/05/2017,9.3,0
07/05/2017,9,0
08/05/2017,8.5,0
09/05/2017,9.3,0
10/05/2017,12.9,0
11/05/2017,12.6,0
12/05/2017,11.8,0.2
13/05/2017,14.2,0
14/05/2017,14.3,3.8
15/05/2017,13.7,7.2
16/05/2017,16.9,6.4
17/05/2017,12.3,5.8
18/05/2017,12.5,0.6
19/05/2017,10.6,3
20/05/2017,11.4,4.4
21/05/2017,13.9,0
22/05/2017,16.4,0
23/05/2017,16.9,0
24/05/2017,18.5,0
25/05/2017,20.7,0
26/05/2017,20.9,0
27/05/2017,18,4.6
28/05/2017,16.8,0
29/05/2017,12.8,5.2
30/05/2017,15.4,0.6
31/05/2017,16.6,0
01/06/2017,19.3,0
02/06/2017,16.2,1.6
03/06/2017,15.6,0
04/06/2017,14.6,0
05/06/2017,12.9,16.2
06/06/2017,12.1,8.2
07/06/2017,13.8,0.2
08/06/2017,15.5,4.4
09/06/2017,15.7,0
10/06/2017,15.9,5.4
11/06/2017,16.3,0
12/06/2017,14.4,0
13/06/2017,16.6,0
14/06/2017,20.1,0
15/06/2017,17.4,0
16/06/2017,16.6,0
17/06/2017,21.6,0
18/06/2017,22.5,0
19/06/2017,23.8,0
20/06/2017,16.9,0
21/06/2017,20.8,0
22/06/2017,17.7,0
23/06/2017,15.8,0.6
24/06/2017,16.2,0
25/06/2017,14.6,0.4
26/06/2017,14.8,0
27/06/2017,13.1,8.2
28/06/2017,11,30.4
29/06/2017,13.7,2.2
30/06/2017,14.8,0
01/07/2017,16,0
02/07/2017,16,0
03/07/2017,16.4,0
04/07/2017,15.9,0
05/07/2017,15.7,0.4
06/07/2017,19.9,0
07/07/2017,18,0
08/07/2017,16.5,0
09/07/2017,19,0
10/07/2017,15.9,1.6
11/07/2017,12.5,6
12/07/2017,16.1,0.2
13/07/2017,17.6,0.2
14/07/2017,15.5,0
15/07/2017,17.4,0.8
16/07/2017,18.2,0
17/07/2017,19.1,0
18/07/2017,18.2,0
19/07/2017,19.1,3.2
20/07/2017,15.7,3.8
21/07/2017,17.1,0.2
22/07/2017,16.4,15.2
23/07/2017,15.2,6
24/07/2017,15.2,0
25/07/2017,16.2,0
26/07/2017,16,6.2
27/07/2017,14.9,2.2
28/07/2017,15.9,8.4
29/07/2017,16.7,0
30/07/2017,16.3,1.2
31/07/2017,16.2,1.2
01/08/2017,15.8,4.2
02/08/2017,16.7,2.4
03/08/2017,17.3,0.2
04/08/2017,16.5,0
05/08/2017,15.2,0
06/08/2017,15.1,12.4
07/08/2017,16,2.4
08/08/2017,12.7,12.6
09/08/2017,14.7,2.4
10/08/2017,15.4,0
11/08/2017,15.6,0
12/08/2017,16.6,0
13/08/2017,15.6,0
14/08/2017,16.7,1.2
15/08/2017,17.1,0.2
16/08/2017,16.8,2.4
17/08/2017,18,9
18/08/2017,15,0.8
19/08/2017,15.1,0
20/08/2017,15.4,0
21/08/2017,16,1
22/08/2017,19.2,0.2
23/08/2017,17.5,13.4
24/08/2017,16.1,0
25/08/2017,16.9,0.2
26/08/2017,17,0.2
27/08/2017,17.8,0
28/08/2017,19,0
29/08/2017,15.3,0.6
30/08/2017,14,0
31/08/2017,13.7,0.2
01/09/2017,13.8,2.2
02/09/2017,14.9,0
03/09/2017,14,0.2
04/09/2017,17,0.8
05/09/2017,16.5,8.4
06/09/2017,13.9,1.4
07/09/2017,14.5,1.2
08/09/2017,14.2,9
09/09/2017,12.9,2.8
10/09/2017,12.8,4.4
11/09/2017,13.7,4.6
12/09/2017,13.4,6.4
13/09/2017,12.4,0.2
14/09/2017,11.9,0.8
15/09/2017,11.7,1.2
16/09/2017,11.8,0
17/09/2017,12.7,2.6
18/09/2017,11.5,4.2
19/09/2017,11.2,0.2
20/09/2017,14.6,1
21/09/2017,14.2,0
22/09/2017,12.1,1
23/09/2017,14.3,0
24/09/2017,15.3,0.8
25/09/2017,14.8,5.2
26/09/2017,14.8,0
27/09/2017,15,11.4
28/09/2017,15.9,1.6
29/09/2017,14.2,5
30/09/2017,12,2
01/10/2017,15.4,0.6
02/10/2017,13.6,0
03/10/2017,12.1,0
04/10/2017,11.9,4
05/10/2017,12.4,1
06/10/2017,10.7,0
07/10/2017,13,0
08/10/2017,13,0
09/10/2017,13.8,0
10/10/2017,14.7,0.2
11/10/2017,14.1,1
12/10/2017,12.8,0
13/10/2017,18.1,0
14/10/2017,18,0
15/10/2017,15.8,0
16/10/2017,15.6,0
17/10/2017,13.1,0
18/10/2017,11.1,2.4
19/10/2017,12.6,8.6
20/10/2017,12.7,0.8
21/10/2017,12.4,12.8
22/10/2017,10.4,0.6
23/10/2017,13.1,0
24/10/2017,14.9,4
25/10/2017,13,1.4
26/10/2017,11.8,0.4
27/10/2017,9.9,0.2
28/10/2017,12.7,0
29/10/2017,9.6,0
30/10/2017,6.8,0
31/10/2017,11.5,0
01/11/2017,11.5,0
02/11/2017,10.4,0
03/11/2017,10.5,0
04/11/2017,9.4,4.4
05/11/2017,6.2,0
06/11/2017,6.6,0
07/11/2017,9.3,1.4
08/11/2017,6.8,0
09/11/2017,10.7,0
10/11/2017,8.1,1
11/11/2017,7.2,0
12/11/2017,5.4,0
13/11/2017,4.9,0
14/11/2017,10.9,0
15/11/2017,10,0.6
16/11/2017,8.7,0.4
17/11/2017,6.1,0
18/11/2017,7.4,0
19/11/2017,4.9,0.2
20/11/2017,10.2,4.6
21/11/2017,12.7,3
22/11/2017,14.6,2.6
23/11/2017,7.5,1.8
24/11/2017,4.6,3
25/11/2017,3.6,0.2
26/11/2017,5,0.4
27/11/2017,6.8,2
28/11/2017,4.3,0
29/11/2017,3.8,0.2
30/11/2017,1.9,0.6
01/12/2017,3.7,1.6
02/12/2017,6.2,0
03/12/2017,7.7,0
04/12/2017,6.9,0
05/12/2017,8.2,0
06/12/2017,10.1,0
07/12/2017,7.8,5
08/12/2017,1.8,0.8
09/12/2017,1.2,0
10/12/2017,0.6,0
11/12/2017,0.7,0
12/12/2017,2.1,0.8
13/12/2017,4.8,3.2
14/12/2017,3.9,3.6
15/12/2017,3.5,0.2
16/12/2017,2,0.2
17/12/2017,4.2,1.6
18/12/2017,5.4,0
19/12/2017,7.9,0
20/12/2017,11,0
21/12/2017,10,0.8
22/12/2017,10.2,0
23/12/2017,9.8,0.2
24/12/2017,11,0
25/12/2017,10,1
26/12/2017,4,1.2
27/12/2017,2.2,0.4
28/12/2017,2.5,0
29/12/2017,2.5,4.4
30/12/2017,6,7.8
31/12/2017,8.4,5.6
